a;b;c;d;e;f;g;h;i;j;k
23.795713,90.406025;23.795816,90.406236;23.795894,90.406359;23.795953,90.406457;23.795996,90.406550;23.796062,90.406670;23.796152,90.406814;23.796203,90.406916;23.796312,90.407104;23.796491,90.407408;road20
23.795132,90.406457;23.795226,90.406605;23.795292,90.406745;23.795368,90.406893;23.795469,90.407045;23.795549,90.407189;23.795636,90.407352;23.795712,90.407485;23.795809,90.407640;23.795937,90.407845;road22
23.794511,90.406685;23.794591,90.406851;23.794685,90.407011;23.794789,90.407178;23.794904,90.407358;23.795007,90.407578;23.795080,90.407712;23.795183,90.407879;23.795267,90.408029;23.795331,90.408179;road24
